# galaxy 00 (sfh_orig.dat #1)
# time(Gyr)       SFR(Msun/yr)
1.2217022410e-01  0.000000e+00
2.5914841707e-01  0.000000e+00
3.9612661005e-01  3.532020e-02
5.3310480302e-01  5.092832e-01
6.7008299599e-01  1.208988e+00
8.0706118896e-01  2.230667e+00
9.4403938194e-01  3.619771e+00
1.0810175749e+00  3.012328e+00
1.2179957679e+00  5.307882e+00
1.3549739609e+00  7.301070e+00
1.4919521538e+00  7.462392e+00
1.6289303468e+00  6.971417e+00
1.7659085398e+00  6.518491e+00
1.9028867327e+00  6.498643e+00
2.0398649257e+00  8.063741e+00
2.1768431187e+00  1.292729e+01
2.3138213117e+00  7.933934e+00
2.4507995046e+00  7.912018e+00
2.5877776976e+00  9.602004e+00
2.7247558906e+00  1.408020e+01
2.8617340835e+00  1.936591e+01
2.9987122765e+00  1.839062e+01
3.1356904695e+00  1.194243e+01
3.2726686625e+00  1.201360e+01
3.4096468554e+00  1.049501e+01
3.5466250484e+00  1.072055e+01
3.6836032414e+00  1.152133e+01
3.8205814344e+00  1.393424e+01
3.9575596273e+00  1.334387e+01
4.0945378203e+00  1.399605e+01
4.2315160133e+00  1.713917e+01
4.3684942062e+00  1.994486e+01
4.5054723992e+00  1.897768e+01
4.6424505922e+00  1.878104e+01
4.7794287852e+00  1.713594e+01
4.9164069781e+00  1.607220e+01
5.0533851711e+00  1.309050e+01
5.1903633641e+00  1.051996e+01
5.3273415570e+00  1.130326e+01
5.4643197500e+00  1.328590e+01
5.6012979430e+00  1.567571e+01
5.7382761360e+00  1.262655e+01
5.8752543289e+00  1.411866e+01
6.0122325219e+00  1.750128e+01
6.1492107149e+00  2.105033e+01
6.2861889079e+00  1.933314e+01
6.4231671008e+00  1.680204e+01
6.5601452938e+00  1.943629e+01
6.6971234868e+00  2.211515e+01
6.8341016797e+00  1.891696e+01
6.9710798727e+00  1.141178e+01
7.1080580657e+00  6.721874e+00
7.2450362587e+00  8.587672e+00
7.3820144516e+00  5.811812e+00
7.5189926446e+00  5.734252e+00
7.6559708376e+00  7.141974e+00
7.7929490306e+00  6.514359e+00
7.9299272235e+00  6.074750e+00
8.0669054165e+00  4.244873e+00
8.2038836095e+00  5.158900e+00
8.3408618024e+00  4.947872e+00
8.4778399954e+00  4.403573e+00
8.6148181884e+00  5.377366e+00
8.7517963814e+00  4.664058e+00
8.8887745743e+00  5.370919e+00
9.0257527673e+00  5.937473e+00
9.1627309603e+00  4.967332e+00
9.2997091532e+00  7.314294e+00
9.4366873462e+00  9.674969e+00
9.5736655392e+00  3.516088e+00
9.7106437322e+00  1.384554e+00
9.8476219251e+00  1.649029e+00
9.9846001181e+00  2.490481e+00
1.0121578311e+01  2.378321e+00
1.0258556504e+01  3.130941e+00
1.0395534697e+01  2.222761e+00
1.0532512890e+01  2.823721e+00
1.0669491083e+01  2.908339e+00
1.0806469276e+01  2.366433e+00
1.0943447469e+01  1.974085e+00
1.1080425662e+01  2.350212e+00
1.1217403855e+01  2.149383e+00
1.1354382048e+01  2.046229e+00
1.1491360241e+01  2.665728e+00
1.1628338434e+01  8.250142e-01
1.1765316627e+01  3.994816e-01
1.1902294820e+01  5.537695e-01
1.2039273013e+01  3.793809e-01
1.2176251206e+01  3.406772e-01
1.2313229399e+01  3.856434e-01
1.2450207592e+01  1.956712e-01
1.2587185785e+01  3.105573e-01
1.2724163978e+01  2.682857e-01
1.2861142171e+01  2.585517e-01
1.2998120363e+01  2.492377e-01
1.3135098556e+01  2.737255e-01
1.3272076749e+01  2.791444e-01
1.3409054942e+01  2.553468e-01
1.3546033135e+01  3.426882e-01
1.3683011328e+01  2.430697e-01
