# galaxy 04 (sfh.dat #2)
# time(Gyr)       SFR(Msun/yr)
1.2217022410e-01  0.000000e+00
2.5914841707e-01  0.000000e+00
3.9612661005e-01  2.860717e-02
5.3310480302e-01  8.690714e-02
6.7008299599e-01  1.974371e-01
8.0706118896e-01  2.452985e-01
9.4403938194e-01  5.456676e-01
1.0810175749e+00  6.718919e-01
1.2179957679e+00  9.568746e-01
1.3549739609e+00  1.227324e+00
1.4919521538e+00  1.084430e+00
1.6289303468e+00  1.500076e+00
1.7659085398e+00  2.180468e+00
1.9028867327e+00  1.769480e+00
2.0398649257e+00  1.654182e+00
2.1768431187e+00  2.408388e+00
2.3138213117e+00  2.508233e+00
2.4507995046e+00  2.350450e+00
2.5877776976e+00  2.511950e+00
2.7247558906e+00  2.037142e+00
2.8617340835e+00  1.868815e+00
2.9987122765e+00  2.726364e+00
3.1356904695e+00  2.626645e+00
3.2726686625e+00  3.225958e+00
3.4096468554e+00  4.435578e+00
3.5466250484e+00  4.404674e+00
3.6836032414e+00  3.340658e+00
3.8205814344e+00  3.918869e+00
3.9575596273e+00  3.186722e+00
4.0945378203e+00  3.106441e+00
4.2315160133e+00  2.696888e+00
4.3684942062e+00  4.095700e+00
4.5054723992e+00  5.456886e+00
4.6424505922e+00  4.301836e+00
4.7794287852e+00  4.338893e+00
4.9164069781e+00  3.963016e+00
5.0533851711e+00  5.879253e+00
5.1903633641e+00  9.390929e+00
5.3273415570e+00  8.007765e+00
5.4643197500e+00  5.457231e+00
5.6012979430e+00  6.630432e+00
5.7382761360e+00  7.298915e+00
5.8752543289e+00  6.467957e+00
6.0122325219e+00  6.623124e+00
6.1492107149e+00  4.643002e+00
6.2861889079e+00  6.590209e+00
6.4231671008e+00  5.629836e+00
6.5601452938e+00  7.344097e+00
6.6971234868e+00  8.019727e+00
6.8341016797e+00  9.409088e+00
6.9710798727e+00  1.110960e+01
7.1080580657e+00  1.089923e+01
7.2450362587e+00  8.396190e+00
7.3820144516e+00  6.360521e+00
7.5189926446e+00  8.360006e+00
7.6559708376e+00  7.448465e+00
7.7929490306e+00  7.715384e+00
7.9299272235e+00  9.690207e+00
8.0669054165e+00  1.025320e+01
8.2038836095e+00  7.258311e+00
8.3408618024e+00  8.028026e+00
8.4778399954e+00  9.811598e+00
8.6148181884e+00  9.636941e+00
8.7517963814e+00  1.093541e+01
8.8887745743e+00  1.141393e+01
9.0257527673e+00  1.133123e+01
9.1627309603e+00  1.056585e+01
9.2997091532e+00  9.655418e+00
9.4366873462e+00  9.187847e+00
9.5736655392e+00  8.927912e+00
9.7106437322e+00  1.185425e+01
9.8476219251e+00  1.306683e+01
9.9846001181e+00  1.165175e+01
1.0121578311e+01  1.153184e+01
1.0258556504e+01  1.168960e+01
1.0395534697e+01  1.075307e+01
1.0532512890e+01  1.147404e+01
1.0669491083e+01  1.071482e+01
1.0806469276e+01  1.537809e+01
1.0943447469e+01  1.503470e+01
1.1080425662e+01  1.340062e+01
1.1217403855e+01  1.313557e+01
1.1354382048e+01  1.249336e+01
1.1491360241e+01  7.823003e+00
1.1628338434e+01  6.933049e+00
1.1765316627e+01  6.686661e+00
1.1902294820e+01  6.369927e+00
1.2039273013e+01  5.849925e+00
1.2176251206e+01  9.169393e+00
1.2313229399e+01  9.878563e+00
1.2450207592e+01  8.771983e+00
1.2587185785e+01  9.172297e+00
1.2724163978e+01  1.140612e+01
1.2861142171e+01  9.048922e+00
1.2998120363e+01  7.586569e+00
1.3135098556e+01  7.190646e+00
1.3272076749e+01  4.951592e+00
1.3409054942e+01  4.232009e+00
1.3546033135e+01  5.587061e+00
1.3683011328e+01  7.336910e+00
